,date,prcp
219,2016-09-27,0.17
220,2016-09-27,1.0
221,2016-09-28,0.0
222,2016-09-28,0.08
223,2016-09-28,0.0
224,2016-09-28,0.0
225,2016-09-28,0.0
226,2016-09-28,0.0
227,2016-09-28,0.05
228,2016-09-29,0.0
229,2016-09-29,0.49
230,2016-09-29,0.2
231,2016-09-29,0.04
232,2016-09-29,0.18
233,2016-09-29,0.59
234,2016-09-29,1.49
235,2016-09-30,0.0
236,2016-09-30,0.31
237,2016-09-30,0.06
238,2016-09-30,
239,2016-09-30,0.15
240,2016-09-30,0.25
241,2016-09-30,0.38
242,2016-10-01,0.0
243,2016-10-01,0.14
244,2016-10-01,0.08
245,2016-10-01,0.07
246,2016-10-01,0.14
247,2016-10-01,1.02
248,2016-10-02,0.0
249,2016-10-02,0.02
250,2016-10-02,0.03
251,2016-10-02,0.0
252,2016-10-02,0.06
253,2016-10-02,0.61
254,2016-10-03,0.0
255,2016-10-03,0.04
256,2016-10-03,0.03
257,2016-10-03,
258,2016-10-03,0.0
259,2016-10-03,0.16
260,2016-10-03,0.46
261,2016-10-04,0.0
262,2016-10-04,0.0
263,2016-10-04,0.0
264,2016-10-04,
265,2016-10-04,0.0
266,2016-10-04,0.03
267,2016-10-04,3.46
268,2016-10-05,0.0
269,2016-10-05,0.0
270,2016-10-05,0.0
271,2016-10-05,
272,2016-10-05,0.0
273,2016-10-05,0.01
274,2016-10-05,0.81
275,2016-10-06,0.0
276,2016-10-06,0.05
277,2016-10-06,0.0
278,2016-10-06,0.07
279,2016-10-06,0.0
280,2016-10-06,0.0
281,2016-10-06,0.04
282,2016-10-07,0.0
283,2016-10-07,0.0
284,2016-10-07,0.0
285,2016-10-07,
286,2016-10-07,0.0
287,2016-10-07,0.0
288,2016-10-07,0.01
289,2016-10-08,0.0
290,2016-10-08,0.0
291,2016-10-08,0.0
292,2016-10-08,0.0
293,2016-10-08,0.04
294,2016-10-09,0.0
295,2016-10-09,0.0
296,2016-10-09,0.0
297,2016-10-09,0.0
298,2016-10-09,0.0
299,2016-10-10,0.0
300,2016-10-10,0.0
301,2016-10-10,
302,2016-10-10,0.0
303,2016-10-10,0.0
304,2016-10-10,0.0
305,2016-10-11,0.0
306,2016-10-11,0.02
307,2016-10-11,0.04
308,2016-10-11,
309,2016-10-11,0.0
310,2016-10-11,0.28
311,2016-10-11,0.35
312,2016-10-12,0.0
313,2016-10-12,0.03
314,2016-10-12,0.0
315,2016-10-12,0.0
316,2016-10-12,0.03
317,2016-10-12,0.02
318,2016-10-13,0.0
319,2016-10-13,0.0
320,2016-10-13,0.02
321,2016-10-13,
322,2016-10-13,0.0
323,2016-10-13,0.0
324,2016-10-13,0.06
325,2016-10-14,0.0
326,2016-10-14,0.0
327,2016-10-14,0.0
328,2016-10-14,0.0
329,2016-10-14,0.0
330,2016-10-14,0.0
331,2016-10-15,0.0
332,2016-10-15,0.0
333,2016-10-15,0.02
334,2016-10-15,0.0
335,2016-10-15,0.04
336,2016-10-15,0.33
337,2016-10-16,0.0
338,2016-10-16,0.0
339,2016-10-16,0.0
340,2016-10-16,0.0
341,2016-10-16,0.0
342,2016-10-17,0.01
343,2016-10-17,0.03
344,2016-10-17,
345,2016-10-17,
346,2016-10-17,0.12
347,2016-10-17,0.01
348,2016-10-17,0.38
349,2016-10-18,0.0
350,2016-10-18,0.05
351,2016-10-18,0.03
352,2016-10-18,
353,2016-10-18,0.02
354,2016-10-18,0.02
355,2016-10-18,0.48
356,2016-10-19,0.0
357,2016-10-19,0.06
358,2016-10-19,0.0
359,2016-10-19,
360,2016-10-19,0.0
361,2016-10-19,0.11
362,2016-10-19,0.0
363,2016-10-20,0.0
364,2016-10-20,0.0
365,2016-10-20,0.01
366,2016-10-20,
367,2016-10-20,0.0
368,2016-10-20,1.0
369,2016-10-21,0.05
370,2016-10-21,0.15
371,2016-10-21,0.03
372,2016-10-21,
373,2016-10-21,
374,2016-10-21,0.0
375,2016-10-21,0.09
376,2016-10-22,0.15
377,2016-10-22,0.1
378,2016-10-22,0.0
379,2016-10-22,0.15
380,2016-10-22,1.37
381,2016-10-23,0.01
382,2016-10-23,0.01
383,2016-10-23,
384,2016-10-23,0.0
385,2016-10-23,0.02
386,2016-10-23,0.24
387,2016-10-24,0.0
388,2016-10-24,0.0
389,2016-10-24,0.01
390,2016-10-24,
391,2016-10-24,0.0
392,2016-10-24,0.08
393,2016-10-24,0.7
394,2016-10-25,0.03
395,2016-10-25,0.04
396,2016-10-25,0.0
397,2016-10-25,0.4
398,2016-10-25,0.12
399,2016-10-25,0.11
400,2016-10-25,0.4
401,2016-10-26,0.0
402,2016-10-26,0.06
403,2016-10-26,0.2
404,2016-10-26,0.02
405,2016-10-26,0.01
406,2016-10-26,0.0
407,2016-10-27,0.0
408,2016-10-27,0.11
409,2016-10-27,0.2
410,2016-10-27,
411,2016-10-27,0.08
412,2016-10-27,0.22
413,2016-10-27,1.25
414,2016-10-28,0.0
415,2016-10-28,0.02
416,2016-10-28,0.07
417,2016-10-28,
418,2016-10-28,0.06
419,2016-10-28,0.05
420,2016-10-28,0.37
421,2016-10-29,0.0
422,2016-10-29,0.02
423,2016-10-29,0.26
424,2016-10-29,0.01
425,2016-10-29,0.1
426,2016-10-29,0.25
427,2016-10-30,0.24
428,2016-10-30,0.1
429,2016-10-30,0.14
430,2016-10-30,0.0
431,2016-10-30,0.16
432,2016-10-30,0.95
433,2016-10-31,0.03
434,2016-10-31,0.03
435,2016-10-31,0.0
436,2016-10-31,
437,2016-10-31,0.13
438,2016-10-31,0.07
439,2016-10-31,1.35
440,2016-11-01,0.0
441,2016-11-01,0.01
442,2016-11-01,0.0
443,2016-11-01,0.01
444,2016-11-01,0.1
445,2016-11-01,0.09
446,2016-11-02,0.0
447,2016-11-02,0.0
448,2016-11-02,0.0
449,2016-11-02,0.0
450,2016-11-02,0.0
451,2016-11-02,0.04
452,2016-11-03,0.0
453,2016-11-03,0.0
454,2016-11-03,0.0
455,2016-11-03,0.0
456,2016-11-03,0.0
457,2016-11-03,0.02
458,2016-11-04,0.0
459,2016-11-04,0.0
460,2016-11-04,0.0
461,2016-11-04,
462,2016-11-04,0.0
463,2016-11-04,0.0
464,2016-11-04,0.06
465,2016-11-05,0.0
466,2016-11-05,0.02
467,2016-11-05,0.0
468,2016-11-05,0.02
469,2016-11-05,0.03
470,2016-11-05,0.38
471,2016-11-06,0.0
472,2016-11-06,0.02
473,2016-11-06,0.0
474,2016-11-06,0.0
475,2016-11-06,0.01
476,2016-11-06,0.05
477,2016-11-07,0.0
478,2016-11-07,0.0
479,2016-11-07,0.13
480,2016-11-07,
481,2016-11-07,0.0
482,2016-11-07,0.0
483,2016-11-07,0.05
484,2016-11-08,0.07
485,2016-11-08,0.14
486,2016-11-08,0.02
487,2016-11-08,0.15
488,2016-11-08,0.21
489,2016-11-08,0.53
490,2016-11-09,0.0
491,2016-11-09,0.08
492,2016-11-09,0.17
493,2016-11-09,0.0
494,2016-11-09,0.0
495,2016-11-09,0.11
496,2016-11-09,0.04
497,2016-11-10,0.0
498,2016-11-10,0.0
499,2016-11-10,0.0
500,2016-11-10,0.0
501,2016-11-10,0.0
502,2016-11-10,0.01
503,2016-11-11,0.0
504,2016-11-11,0.0
505,2016-11-11,0.0
506,2016-11-11,0.0
507,2016-11-11,0.0
508,2016-11-11,0.0
509,2016-11-12,0.0
510,2016-11-12,0.0
511,2016-11-12,0.0
512,2016-11-12,0.0
513,2016-11-12,0.0
514,2016-11-12,0.0
515,2016-11-13,0.0
516,2016-11-13,0.0
517,2016-11-13,0.0
518,2016-11-13,0.0
519,2016-11-13,0.0
520,2016-11-13,0.0
521,2016-11-14,0.0
522,2016-11-14,0.06
523,2016-11-14,0.05
524,2016-11-14,0.02
525,2016-11-14,0.0
526,2016-11-14,0.0
527,2016-11-14,0.02
528,2016-11-15,0.0
529,2016-11-15,0.0
530,2016-11-15,0.0
531,2016-11-15,
532,2016-11-15,0.0
533,2016-11-15,0.0
534,2016-11-15,0.05
535,2016-11-16,0.0
536,2016-11-16,0.14
537,2016-11-16,0.18
538,2016-11-16,
539,2016-11-16,0.07
540,2016-11-16,0.24
541,2016-11-16,0.91
542,2016-11-17,0.0
543,2016-11-17,0.03
544,2016-11-17,0.0
545,2016-11-17,
546,2016-11-17,0.0
547,2016-11-17,0.01
548,2016-11-17,0.02
549,2016-11-18,0.0
550,2016-11-18,0.01
551,2016-11-18,
552,2016-11-18,0.02
553,2016-11-18,0.0
554,2016-11-19,0.03
555,2016-11-19,0.11
556,2016-11-19,0.13
557,2016-11-19,0.11
558,2016-11-20,0.05
559,2016-11-20,0.11
560,2016-11-20,0.4
561,2016-11-20,0.39
562,2016-11-20,
563,2016-11-21,0.01
564,2016-11-21,0.02
565,2016-11-21,
566,2016-11-21,0.07
567,2016-11-21,0.11
568,2016-11-21,2.87
569,2016-11-22,0.13
570,2016-11-22,0.41
571,2016-11-22,
572,2016-11-22,
573,2016-11-22,0.31
574,2016-11-22,2.05
575,2016-11-22,2.11
576,2016-11-23,0.14
577,2016-11-23,0.03
578,2016-11-23,
579,2016-11-23,0.03
580,2016-11-23,0.25
581,2016-11-23,0.22
582,2016-11-24,0.05
583,2016-11-24,0.2
584,2016-11-24,0.21
585,2016-11-24,0.3
586,2016-11-24,0.72
587,2016-11-25,0.05
588,2016-11-25,0.05
589,2016-11-25,
590,2016-11-25,0.11
591,2016-11-25,0.08
592,2016-11-25,1.03
593,2016-11-26,0.05
594,2016-11-26,0.05
595,2016-11-26,0.02
596,2016-11-26,0.03
597,2016-11-26,0.06
598,2016-11-26,0.3
599,2016-11-27,0.0
600,2016-11-27,0.06
601,2016-11-27,0.03
602,2016-11-27,0.0
603,2016-11-27,0.17
604,2016-11-27,0.29
605,2016-11-28,0.01
606,2016-11-28,0.02
607,2016-11-28,0.0
608,2016-11-28,
609,2016-11-28,0.0
610,2016-11-28,0.0
611,2016-11-28,0.69
612,2016-11-29,0.0
613,2016-11-29,0.04
614,2016-11-29,0.04
615,2016-11-29,
616,2016-11-29,0.06
617,2016-11-29,0.09
618,2016-11-29,0.2
619,2016-11-30,0.14
620,2016-11-30,0.05
621,2016-11-30,0.03
622,2016-11-30,
623,2016-11-30,0.0
624,2016-11-30,0.05
625,2016-11-30,0.79
626,2016-12-01,0.12
627,2016-12-01,0.33
628,2016-12-01,0.07
629,2016-12-01,
630,2016-12-01,0.16
631,2016-12-01,0.37
632,2016-12-01,0.72
633,2016-12-02,0.03
634,2016-12-02,0.3
635,2016-12-02,0.4
636,2016-12-02,
637,2016-12-02,0.01
638,2016-12-02,0.35
639,2016-12-02,1.27
640,2016-12-03,0.0
641,2016-12-03,0.04
642,2016-12-03,0.26
643,2016-12-03,0.02
644,2016-12-03,0.77
645,2016-12-03,1.62
646,2016-12-04,0.03
647,2016-12-04,0.1
648,2016-12-04,0.0
649,2016-12-04,0.32
650,2016-12-04,0.04
651,2016-12-04,0.31
652,2016-12-05,0.43
653,2016-12-05,0.34
654,2016-12-05,0.2
655,2016-12-05,
656,2016-12-05,0.45
657,2016-12-05,0.22
658,2016-12-05,1.6
659,2016-12-06,0.02
660,2016-12-06,0.02
661,2016-12-06,
662,2016-12-06,0.0
663,2016-12-06,0.0
664,2016-12-06,0.0
665,2016-12-07,0.0
666,2016-12-07,0.17
667,2016-12-07,
668,2016-12-07,
669,2016-12-07,0.07
670,2016-12-07,0.12
671,2016-12-07,0.02
672,2016-12-08,0.03
673,2016-12-08,0.03
674,2016-12-08,0.02
675,2016-12-08,0.27
676,2016-12-08,0.01
677,2016-12-08,0.07
678,2016-12-08,0.03
679,2016-12-09,0.52
680,2016-12-09,0.34
681,2016-12-09,0.26
682,2016-12-09,
683,2016-12-09,0.31
684,2016-12-09,0.42
685,2016-12-10,0.05
686,2016-12-10,0.02
687,2016-12-10,0.0
688,2016-12-10,
689,2016-12-10,0.02
690,2016-12-10,0.04
691,2016-12-11,0.04
692,2016-12-11,0.02
693,2016-12-11,0.06
694,2016-12-11,0.0
695,2016-12-11,0.13
696,2016-12-12,0.01
697,2016-12-12,0.01
698,2016-12-12,
699,2016-12-12,0.02
700,2016-12-12,0.0
701,2016-12-12,0.0
702,2016-12-12,0.01
703,2016-12-13,0.05
704,2016-12-13,0.1
705,2016-12-13,0.34
706,2016-12-13,
707,2016-12-13,0.15
708,2016-12-13,0.04
709,2016-12-13,0.09
710,2016-12-14,0.03
711,2016-12-14,0.05
712,2016-12-14,0.12
713,2016-12-14,
714,2016-12-14,0.05
715,2016-12-14,0.92
716,2016-12-14,0.33
717,2016-12-15,0.0
718,2016-12-15,0.02
719,2016-12-15,0.07
720,2016-12-15,
721,2016-12-15,0.0
722,2016-12-15,0.14
723,2016-12-15,0.03
724,2016-12-16,0.0
725,2016-12-16,0.01
726,2016-12-16,0.0
727,2016-12-16,
728,2016-12-16,0.0
729,2016-12-16,0.03
730,2016-12-16,0.0
731,2016-12-17,0.01
732,2016-12-17,0.11
733,2016-12-17,0.0
734,2016-12-17,0.16
735,2016-12-17,0.07
736,2016-12-18,0.13
737,2016-12-18,0.29
738,2016-12-18,0.04
739,2016-12-18,0.27
740,2016-12-18,0.16
741,2016-12-18,
742,2016-12-19,0.01
743,2016-12-19,0.21
744,2016-12-19,0.0
745,2016-12-19,
746,2016-12-19,0.02
747,2016-12-19,0.03
748,2016-12-19,0.15
749,2016-12-20,0.0
750,2016-12-20,0.02
751,2016-12-20,0.0
752,2016-12-20,
753,2016-12-20,0.01
754,2016-12-20,0.0
755,2016-12-20,0.0
756,2016-12-21,0.0
757,2016-12-21,0.03
758,2016-12-21,0.09
759,2016-12-21,0.06
760,2016-12-21,0.06
761,2016-12-21,0.11
762,2016-12-21,0.55
763,2016-12-22,0.01
764,2016-12-22,0.17
765,2016-12-22,0.05
766,2016-12-22,
767,2016-12-22,0.14
768,2016-12-22,0.86
769,2016-12-22,1.24
770,2016-12-23,0.01
771,2016-12-23,0.1
772,2016-12-23,0.03
773,2016-12-23,
774,2016-12-23,0.02
775,2016-12-23,0.24
776,2016-12-23,0.83
777,2016-12-24,0.01
778,2016-12-24,0.14
779,2016-12-24,0.13
780,2016-12-24,0.06
781,2016-12-24,0.2
782,2016-12-24,1.08
783,2016-12-25,0.0
784,2016-12-25,0.03
785,2016-12-25,0.0
786,2016-12-25,0.02
787,2016-12-25,0.38
788,2016-12-26,0.02
789,2016-12-26,0.26
790,2016-12-26,
791,2016-12-26,0.06
792,2016-12-26,0.22
793,2016-12-26,1.48
794,2016-12-27,0.0
795,2016-12-27,0.03
796,2016-12-27,0.02
797,2016-12-27,0.0
798,2016-12-27,0.05
799,2016-12-27,0.14
800,2016-12-28,0.02
